Date, Inflation Rate (%),,
31/12/1960,1.0036,,
31/12/1961,3.4475,,
31/12/1962,4.1965,,
31/12/1963,2.0185,,
31/12/1964,3.2816,,
31/12/1965,4.7738,,
31/12/1966,3.9096,,
31/12/1967,2.4821,,
31/12/1968,4.6974,,
31/12/1969,5.4467,,
31/12/1970,6.3666,,
31/12/1971,9.4448,,
31/12/1972,7.0711,,
31/12/1973,9.196,,
31/12/1974,16.044,, 
31/12/1975,24.2073,, 
31/12/1976,16.5595,,
31/12/1977,15.8403,,
31/12/1978,8.2631,,
31/12/1979,13.4213,,
31/12/1980,17.9659,,
31/12/1981,11.8766,,
31/12/1982,8.5989,,
31/12/1983,4.6093,,
31/12/1984,4.9607,,
31/12/1985,6.0714,,
31/12/1986,3.4276,,
31/12/1987,4.1489,,
31/12/1988,4.1554,,
31/12/1989,5.7602,,
31/12/1990,8.0635,,
31/12/1991,7.4618,,
31/12/1992,4.5915,,
31/12/1993,2.5586,,
31/12/1994,2.219,,
31/12/1995,2.6975,,
31/12/1996,2.8518,,
31/12/1997,2.2011,,
31/12/1998,1.8206,,
31/12/1999,1.753,,
31/12/2000,1.183,,
31/12/2001,1.5323,,
31/12/2002,1.5204,,
31/12/2003,1.3765,,
31/12/2004,1.3904,,
31/12/2005,2.0891,,
31/12/2006,2.4557,,
31/12/2007,2.3866,,
31/12/2008,3.5214,,
31/12/2009,1.9617,,
31/12/2010,2.4927,,
31/12/2011,3.8561,,
31/12/2012,2.5732,,
31/12/2013,2.2917,,
31/12/2014,1.4511,,
31/12/2015,0.368,,
31/12/2016,1.0084,,
31/12/2017,2.5578,,
31/12/2018,2.2928,,
31/12/2019,1.7381,,
31/12/2020,0.9895,,
31/12/2021,2.5184,,
31/12/2022,7.922,,
